Genus;Species;TAB;BIZ;RAF;ZAO;ZAP;ELK;MON;HER;MAH;GAL;MAR;PPR;BPA;PPE;SDO;CBA;TAV;LIV;LAM;CAR;PCO;CHIA;MOR;GIAN;LAMP;MART;MED;ALI;BS;Living habit
Gammaropsis dentata Chevreux, 1900;Gammaropsis;dentata;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;Tube
Gammaropsis maculata (Johnston, 1828);Gammaropsis;maculata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;10;Tube
Gammaropsis ostroumowi Sowinski, 1898;Gammaropsis;ostroumowi;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;Tube
Gammaropsis palmata (Stebbing & Robertson, 1891);Gammaropsis;palmata;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;3;Tube
Gammaropsis ulrici Krapp-Schickel & Myers, 1979;Gammaropsis;ulrici;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5.25;Tube
Photis longicaudata (Spence Bate & Westwood, 1862);Photis;longicaudata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;6;Tube
Harpinia crenulata (Boeck, 1871);Harpinia;crenulata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;4;Free
Harpinia zavodniki Karaman, 1987;Harpinia;zavodniki;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2.9;Free
Metaphoxus fultoni (Scott, 1890);Metaphoxus;fultoni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;2.55;Free
Metaphoxus simplex (Spence Bate, 1857);Metaphoxus;simplex;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;Free
Phoxocephalus aquosus Karaman, 1985;Phoxocephalus;aquosus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2.65;Free
